company,industry,region,lead_source,job_title,current_plan,employees,annual_revenue_musd,trial_users,pricing_page_visits,daily_active_users,invited_teammates,webinar_attended,support_tickets,days_since_signup,email_opens,product_sessions,feature_events,buying_intent_score,icp_match_score,converted
EdTech Co 20,EdTech,LATAM,LinkedIn,C-Level,Enterprise,71,1.82,33,81,28,12,0,4,174,26,36,83,64,52,1
FinTech Co 21,FinTech,LATAM,Partner,Director,Growth,73,1.06,25,13,3,12,0,4,256,21,73,41,18,17,0
Healthcare Co 22,Healthcare,APAC,Email Campaign,Manager,Growth,36,1.04,37,53,36,10,0,2,377,23,56,111,89,24,0
Cybersecurity Co 23,Cybersecurity,North America,Partner,C-Level,Starter,166,5.17,46,56,33,1,1,5,376,10,44,212,53,41,1
EdTech Co 24,EdTech,India,Conference,VP,Starter,12,0.36,0,68,3,17,0,1,14,27,48,218,52,37,0
Cybersecurity Co 25,Cybersecurity,Europe,Organic Search,Individual Contributor,Starter,173,3.76,21,39,10,6,1,6,78,12,123,146,28,84,0
RealEstate Co 26,Real Estate,Middle East,Referral,Manager,Enterprise,789,18.91,33,58,16,4,0,1,4,8,58,95,30,67,0
SaaS Co 27,SaaS,LATAM,Email Campaign,Individual Contributor,Growth,129,3.78,17,50,3,5,0,8,109,20,114,198,90,8,0
FinTech Co 28,FinTech,Middle East,Paid Ads,Manager,Enterprise,17,0.49,51,9,11,10,0,2,37,19,126,199,38,98,0
SaaS Co 29,SaaS,North America,LinkedIn,Individual Contributor,Growth,494,19.05,0,57,8,10,0,2,319,35,3,70,51,7,0
FinTech Co 30,FinTech,India,Paid Ads,Director,Free Trial,3092,69.79,35,84,4,1,0,3,152,34,75,161,93,71,0
RealEstate Co 31,Real Estate,LATAM,LinkedIn,Individual Contributor,Free Trial,120,2.61,55,8,19,10,1,4,287,7,112,82,59,53,0
Cybersecurity Co 32,Cybersecurity,India,Email Campaign,VP,Free Trial,46,0.69,13,47,17,18,0,6,73,20,96,191,11,55,0
SaaS Co 33,SaaS,LATAM,Organic Search,Manager,Starter,178,5.27,25,66,13,11,0,7,145,9,9,57,20,71,0
Manufacturing Co 34,Manufacturing,LATAM,Email Campaign,Individual Contributor,Growth,320,4.59,32,5,33,14,1,5,131,32,65,194,74,13,0
Cybersecurity Co 35,Cybersecurity,LATAM,Organic Search,Manager,Starter,1726,22.37,15,70,4,10,0,8,272,29,15,106,84,37,0
SaaS Co 36,SaaS,LATAM,Paid Ads,C-Level,Enterprise,305,2.96,18,63,1,12,0,3,378,4,11,61,75,87,0
EdTech Co 37,EdTech,Middle East,Organic Search,Director,Growth,19,0.18,40,80,31,14,0,2,342,38,98,20,91,68,1
RealEstate Co 38,Real Estate,North America,Paid Ads,Manager,Growth,978,16.93,20,41,10,10,1,1,384,6,2,57,20,79,0
Cybersecurity Co 39,Cybersecurity,APAC,Email Campaign,C-Level,Enterprise,1758,29,46,20,27,1,1,7,366,32,14,87,46,97,0
Healthcare Co 40,Healthcare,India,Email Campaign,Manager,Free Trial,20,0.33,4,56,4,0,0,0,19,8,34,30,74,29,0
Manufacturing Co 41,Manufacturing,India,Conference,C-Level,Growth,71,2.47,7,50,0,2,0,0,69,7,107,93,9,95,0
RealEstate Co 42,Real Estate,Europe,Referral,VP,Free Trial,124,1.51,38,63,8,12,1,7,228,35,20,67,73,8,0
EdTech Co 43,EdTech,North America,Conference,Director,Free Trial,2516,44.96,0,27,6,2,0,7,242,1,121,214,43,64,0
Healthcare Co 44,Healthcare,APAC,Conference,Manager,Growth,583,12.17,32,27,37,0,0,5,254,30,7,208,40,52,0
RealEstate Co 45,Real Estate,India,Organic Search,VP,Enterprise,23,0.33,42,49,32,4,0,2,217,2,77,99,63,95,0
RealEstate Co 46,Real Estate,LATAM,Paid Ads,C-Level,Free Trial,22,0.79,32,17,6,11,1,5,305,25,24,133,81,50,0
Cybersecurity Co 47,Cybersecurity,APAC,Organic Search,VP,Enterprise,638,17.23,18,63,6,16,0,6,167,13,128,85,43,28,0
SaaS Co 48,SaaS,Europe,Webinar,Individual Contributor,Growth,112,3.49,51,88,24,2,1,8,121,29,29,155,69,58,1
Cybersecurity Co 49,Cybersecurity,Europe,Webinar,Manager,Growth,2460,93,32,27,5,6,0,0,158,31,93,188,32,95,1
FinTech Co 50,FinTech,India,Email Campaign,Manager,Starter,2404,78.17,8,53,0,3,0,1,219,22,130,17,75,73,1
SaaS Co 51,SaaS,APAC,Partner,C-Level,Free Trial,1878,21.74,17,84,8,0,0,9,1,10,15,163,61,91,1
Healthcare Co 52,Healthcare,Middle East,Paid Ads,Director,Growth,8,0.31,46,7,26,16,0,1,134,5,125,177,61,91,0
Cybersecurity Co 53,Cybersecurity,North America,Conference,Director,Free Trial,7,0.07,30,31,2,0,0,2,271,19,41,151,41,21,0
SaaS Co 54,SaaS,Middle East,Paid Ads,C-Level,Free Trial,7,0.27,48,70,17,15,0,7,58,9,116,154,9,19,0
RealEstate Co 55,Real Estate,APAC,Webinar,Director,Enterprise,668,21.88,21,1,5,17,0,3,250,17,33,177,74,71,0
FinTech Co 56,FinTech,North America,Organic Search,C-Level,Growth,166,5.94,35,63,27,18,0,5,180,10,17,188,96,45,1
EdTech Co 57,EdTech,LATAM,Webinar,Individual Contributor,Starter,332,3.85,39,36,14,14,0,2,123,38,124,20,33,32,0
FinTech Co 58,FinTech,Europe,Paid Ads,C-Level,Starter,112,3.88,47,41,8,0,0,7,210,26,101,67,93,45,0
RealEstate Co 59,Real Estate,LATAM,Paid Ads,Manager,Starter,1064,12.75,32,57,34,0,0,4,315,34,106,41,74,97,0
FinTech Co 60,FinTech,Europe,Email Campaign,Individual Contributor,Free Trial,30,1.09,20,15,21,3,1,4,389,23,32,2,64,55,0
FinTech Co 61,FinTech,Middle East,Paid Ads,Director,Free Trial,669,17.57,18,41,6,10,1,5,149,24,89,23,98,11,0
Manufacturing Co 62,Manufacturing,North America,Email Campaign,C-Level,Free Trial,6,0.14,50,27,24,3,1,2,109,5,20,13,51,13,0
Cybersecurity Co 63,Cybersecurity,Middle East,Email Campaign,Individual Contributor,Starter,5,0.13,24,35,31,17,0,4,83,9,120,155,18,17,0
Cybersecurity Co 64,Cybersecurity,India,Referral,Director,Free Trial,7,0.26,15,79,6,10,0,2,388,12,67,29,52,30,0
SaaS Co 65,SaaS,APAC,Conference,Director,Starter,232,6.86,46,45,15,10,0,0,227,20,57,54,24,55,0
RealEstate Co 66,Real Estate,Europe,Organic Search,VP,Enterprise,367,9.31,25,34,8,17,1,3,43,3,94,157,33,55,0
Manufacturing Co 67,Manufacturing,Europe,Webinar,C-Level,Starter,104,1.74,36,35,26,3,0,9,191,8,91,118,55,62,0
Cybersecurity Co 68,Cybersecurity,Middle East,Paid Ads,VP,Starter,1093,24.01,49,23,23,10,0,0,125,28,112,59,54,14,0
EdTech Co 69,EdTech,Middle East,Webinar,Director,Growth,17,0.67,32,68,7,9,0,6,188,35,91,160,7,72,0
EdTech Co 70,EdTech,APAC,LinkedIn,Individual Contributor,Enterprise,296,5.15,4,49,11,0,0,5,302,38,50,87,58,54,0
EdTech Co 71,EdTech,Europe,Organic Search,Individual Contributor,Enterprise,190,3.08,14,36,14,0,0,2,146,25,74,202,83,5,0
FinTech Co 72,FinTech,North America,Email Campaign,C-Level,Enterprise,251,4.19,3,36,6,16,0,7,232,38,51,201,51,68,0
Healthcare Co 73,Healthcare,Europe,Paid Ads,Manager,Enterprise,12,0.12,14,18,4,3,0,8,394,17,79,60,16,100,0
FinTech Co 74,FinTech,North America,Organic Search,Director,Growth,2163,80,31,38,33,16,0,9,87,32,117,113,14,69,1
E-commerce Co 75,E-commerce,Middle East,Email Campaign,VP,Growth,145,4.18,33,4,22,15,0,6,74,8,80,48,9,10,0
EdTech Co 76,EdTech,Europe,Email Campaign,Individual Contributor,Free Trial,80,1.99,17,10,21,7,0,5,190,27,32,109,82,82,0
Manufacturing Co 77,Manufacturing,India,Conference,Manager,Enterprise,8,0.1,12,42,17,17,0,1,41,30,114,155,88,86,0
FinTech Co 78,FinTech,Middle East,Partner,Director,Starter,828,15.01,34,74,16,12,0,8,78,18,88,216,6,69,0
Cybersecurity Co 79,Cybersecurity,North America,Email Campaign,Director,Growth,158,1.41,44,14,21,18,0,4,140,36,29,220,68,35,1
Manufacturing Co 80,Manufacturing,India,Paid Ads,Individual Contributor,Starter,249,2.86,44,66,13,13,1,5,145,27,69,151,72,54,0
Manufacturing Co 81,Manufacturing,India,Referral,VP,Growth,7,0.21,51,10,11,17,0,8,187,31,89,101,22,29,0
Cybersecurity Co 82,Cybersecurity,Middle East,LinkedIn,Individual Contributor,Free Trial,162,2.97,44,37,14,10,1,6,123,21,96,86,86,69,0
EdTech Co 83,EdTech,India,Partner,Manager,Enterprise,649,15.44,13,38,9,0,0,5,146,29,119,203,51,5,0
SaaS Co 84,SaaS,APAC,LinkedIn,Director,Starter,951,26.4,24,30,2,9,0,0,20,9,15,157,69,25,1
Healthcare Co 85,Healthcare,North America,Organic Search,VP,Free Trial,118,2.99,33,86,20,3,0,0,290,15,69,155,71,23,1
FinTech Co 86,FinTech,India,Paid Ads,C-Level,Enterprise,951,26.64,52,26,31,1,0,0,17,34,21,164,79,91,0
Healthcare Co 87,Healthcare,Middle East,Referral,C-Level,Free Trial,175,6.31,33,71,20,17,0,0,104,31,29,127,40,44,1
RealEstate Co 88,Real Estate,LATAM,Conference,Individual Contributor,Enterprise,9,0.17,39,57,3,8,0,8,216,34,44,4,22,81,0
RealEstate Co 89,Real Estate,APAC,Partner,VP,Free Trial,121,4.02,50,43,0,6,0,1,177,30,60,43,12,89,0
RealEstate Co 90,Real Estate,Europe,Referral,VP,Growth,5,0.19,28,64,29,16,1,4,117,37,90,182,56,94,1
Manufacturing Co 91,Manufacturing,North America,Organic Search,VP,Starter,10,0.32,12,61,9,17,1,4,255,37,59,216,60,17,0
E-commerce Co 92,E-commerce,India,Conference,Manager,Free Trial,44,0.73,20,12,5,2,0,7,293,10,75,44,56,94,0
SaaS Co 93,SaaS,India,Paid Ads,VP,Growth,9,0.08,17,85,2,17,0,7,263,17,92,146,80,97,0
Cybersecurity Co 94,Cybersecurity,North America,LinkedIn,Manager,Growth,89,1.36,46,54,30,3,1,9,24,12,17,132,18,59,1
Cybersecurity Co 95,Cybersecurity,North America,Email Campaign,C-Level,Free Trial,2840,37,16,48,19,6,0,8,226,15,103,162,10,94,0
E-commerce Co 96,E-commerce,APAC,LinkedIn,Individual Contributor,Enterprise,1413,34.43,45,38,22,11,0,7,138,25,14,61,26,42,0
E-commerce Co 97,E-commerce,Europe,Paid Ads,VP,Growth,234,5.08,16,40,12,4,1,8,78,19,13,128,57,45,0
RealEstate Co 98,Real Estate,APAC,Partner,Individual Contributor,Starter,513,17.96,33,46,9,5,0,1,356,7,106,141,52,80,0
Cybersecurity Co 99,Cybersecurity,LATAM,Paid Ads,Director,Enterprise,218,8.19,12,16,3,7,0,2,335,33,9,83,86,24,0
SaaS Co 100,SaaS,APAC,Webinar,VP,Growth,69,1.5,34,28,27,8,0,3,230,28,80,40,65,9,1
Manufacturing Co 101,Manufacturing,LATAM,Organic Search,Manager,Free Trial,2720,89.52,48,58,16,2,1,7,398,31,9,62,99,35,0
E-commerce Co 102,E-commerce,India,Referral,Individual Contributor,Starter,6,0.15,41,62,23,6,0,3,243,4,107,177,76,6,0
RealEstate Co 103,Real Estate,North America,Paid Ads,Director,Free Trial,31,0.42,15,40,2,17,1,9,108,35,10,191,15,24,0
Manufacturing Co 104,Manufacturing,Middle East,Email Campaign,VP,Growth,261,7.22,7,10,5,9,1,9,254,8,21,77,71,20,0
RealEstate Co 105,Real Estate,Europe,Paid Ads,VP,Free Trial,70,2.32,12,1,6,12,0,5,85,0,4,32,100,10,0
EdTech Co 106,EdTech,APAC,LinkedIn,C-Level,Growth,7,0.15,0,58,2,17,1,3,383,32,79,146,86,76,0
FinTech Co 107,FinTech,LATAM,Partner,Director,Growth,43,0.65,43,45,25,6,0,1,229,18,81,56,97,69,0
E-commerce Co 108,E-commerce,APAC,Webinar,VP,Enterprise,676,15.42,42,26,0,3,0,6,22,5,71,76,77,51,0
FinTech Co 109,FinTech,India,Referral,Manager,Growth,157,3.54,40,15,39,16,0,4,105,17,35,21,20,82,1
Cybersecurity Co 110,Cybersecurity,Middle East,Conference,VP,Growth,35,0.69,34,86,14,3,0,8,229,18,83,26,23,26,0
E-commerce Co 111,E-commerce,India,Organic Search,VP,Enterprise,93,0.95,32,66,27,0,1,2,212,21,93,28,14,59,0
Manufacturing Co 112,Manufacturing,India,Email Campaign,Director,Growth,2326,44.62,11,39,2,17,0,8,297,10,119,123,7,30,0
Cybersecurity Co 113,Cybersecurity,APAC,Partner,C-Level,Growth,561,18.82,47,89,40,16,0,0,132,30,130,76,81,44,1
FinTech Co 114,FinTech,Europe,Partner,Manager,Starter,431,15.34,21,41,17,16,1,9,60,2,16,152,67,63,1
RealEstate Co 115,Real Estate,Europe,Partner,Individual Contributor,Free Trial,7,0.26,37,47,9,8,1,2,229,30,76,16,21,55,0
FinTech Co 116,FinTech,Middle East,Organic Search,C-Level,Starter,222,7.59,32,17,19,10,0,3,316,30,113,182,45,37,1
EdTech Co 117,EdTech,Middle East,Organic Search,Individual Contributor,Starter,46,1.06,31,74,10,10,0,5,396,35,81,114,31,32,1
Healthcare Co 118,Healthcare,India,Email Campaign,Individual Contributor,Free Trial,69,1.28,21,19,2,8,0,6,233,19,31,130,12,98,0
FinTech Co 119,FinTech,India,Conference,C-Level,Growth,40,0.61,8,4,1,16,0,1,124,20,99,144,39,97,1
EdTech Co 120,EdTech,North America,LinkedIn,Director,Free Trial,96,2.32,7,68,14,12,0,3,305,14,64,162,79,53,1
E-commerce Co 121,E-commerce,India,LinkedIn,Manager,Starter,43,1.53,27,49,33,7,0,3,97,1,67,96,69,100,0
EdTech Co 122,EdTech,APAC,Referral,C-Level,Growth,139,1.87,10,8,7,17,0,5,122,34,57,103,24,33,0
Manufacturing Co 123,Manufacturing,India,Paid Ads,Director,Free Trial,621,16.84,27,37,19,7,1,7,48,26,30,179,24,69,0
FinTech Co 124,FinTech,LATAM,Partner,C-Level,Growth,90,3.23,22,1,8,1,0,8,378,23,106,112,77,84,0
RealEstate Co 125,Real Estate,Europe,Conference,C-Level,Starter,143,4.6,11,84,16,10,0,1,58,10,24,114,48,73,0
Healthcare Co 126,Healthcare,Europe,Referral,Director,Starter,218,5.9,51,2,3,10,0,7,163,38,121,89,13,5,0
EdTech Co 127,EdTech,North America,Partner,C-Level,Starter,1167,13.28,51,34,10,1,1,7,154,2,51,44,73,45,1
SaaS Co 128,SaaS,North America,Webinar,Director,Starter,149,5.7,33,33,15,11,1,5,120,30,89,62,40,7,1
FinTech Co 129,FinTech,India,Organic Search,Manager,Free Trial,10,0.36,6,14,6,9,0,6,247,20,116,82,58,6,0
Healthcare Co 130,Healthcare,LATAM,Conference,Individual Contributor,Growth,19,0.22,16,11,11,15,0,6,206,7,1,16,54,85,0
RealEstate Co 131,Real Estate,Middle East,Webinar,VP,Enterprise,6,0.16,53,68,34,15,1,5,275,32,80,110,76,42,0
FinTech Co 132,FinTech,LATAM,Paid Ads,Individual Contributor,Free Trial,43,1.27,19,80,14,6,0,2,59,7,100,195,55,59,0
Cybersecurity Co 133,Cybersecurity,Middle East,Referral,Director,Free Trial,1760,35.02,10,9,1,4,0,1,38,20,39,100,24,18,0
SaaS Co 134,SaaS,India,Webinar,C-Level,Enterprise,268,9.55,12,55,17,18,0,5,106,29,21,67,86,91,1
FinTech Co 135,FinTech,LATAM,LinkedIn,C-Level,Enterprise,50,1.05,32,1,19,9,1,9,288,10,103,100,95,93,1
RealEstate Co 136,Real Estate,Europe,LinkedIn,Individual Contributor,Starter,320,7.04,42,65,15,4,1,5,103,20,97,17,64,64,0
Healthcare Co 137,Healthcare,APAC,Paid Ads,VP,Starter,16,0.17,25,25,1,14,0,4,124,23,10,147,87,85,0
RealEstate Co 138,Real Estate,LATAM,Conference,C-Level,Free Trial,10,0.24,55,44,14,3,1,9,9,19,44,212,62,31,0
Healthcare Co 139,Healthcare,Europe,Paid Ads,VP,Growth,3476,39.4,22,39,13,13,1,1,27,18,53,120,64,76,0
EdTech Co 140,EdTech,North America,LinkedIn,Individual Contributor,Enterprise,6,0.2,28,42,12,3,0,5,262,22,24,111,76,34,0
SaaS Co 141,SaaS,LATAM,Webinar,Director,Starter,486,17,3,36,3,0,0,9,279,10,83,218,88,87,0
E-commerce Co 142,E-commerce,India,Organic Search,Individual Contributor,Starter,11,0.25,3,33,0,0,0,7,232,16,58,73,31,88,0
E-commerce Co 143,E-commerce,Europe,Webinar,Individual Contributor,Enterprise,98,2.31,0,86,3,16,0,7,129,20,97,169,64,28,0
E-commerce Co 144,E-commerce,Middle East,LinkedIn,C-Level,Growth,1393,55.45,45,3,30,14,0,8,78,3,5,194,64,58,1
RealEstate Co 145,Real Estate,North America,Conference,VP,Growth,1603,52.79,24,13,1,7,0,7,24,26,80,64,79,89,0
Manufacturing Co 146,Manufacturing,North America,Webinar,Director,Enterprise,56,0.97,0,72,6,11,1,8,212,25,81,194,87,83,0
Healthcare Co 147,Healthcare,Middle East,Referral,Manager,Growth,394,10.12,34,3,26,5,1,5,77,4,42,155,81,19,0
Manufacturing Co 148,Manufacturing,APAC,Partner,VP,Growth,8,0.09,8,44,7,2,0,7,145,37,77,99,97,83,0
FinTech Co 149,FinTech,LATAM,Referral,VP,Starter,322,7.25,53,56,36,16,0,9,26,30,7,100,34,45,1
E-commerce Co 150,E-commerce,Europe,Webinar,C-Level,Free Trial,211,7.48,18,58,12,16,0,4,128,13,55,43,80,63,1
RealEstate Co 151,Real Estate,Europe,Referral,Individual Contributor,Free Trial,224,4.48,23,37,11,5,0,5,185,1,22,126,96,38,0
Manufacturing Co 152,Manufacturing,Middle East,Organic Search,Director,Growth,21,0.35,5,13,7,9,0,7,202,23,6,138,48,73,0
SaaS Co 153,SaaS,India,Partner,Director,Enterprise,62,2.3,5,43,6,0,0,3,195,6,5,87,11,76,0
Cybersecurity Co 154,Cybersecurity,North America,Organic Search,Manager,Starter,14,0.21,28,17,16,8,0,0,261,5,43,58,44,26,0
FinTech Co 155,FinTech,Europe,LinkedIn,Individual Contributor,Starter,20,0.71,24,27,23,0,0,4,47,36,3,51,48,44,0
SaaS Co 156,SaaS,India,Referral,VP,Starter,259,5.65,18,41,3,12,1,1,366,27,48,45,98,14,1
RealEstate Co 157,Real Estate,LATAM,Conference,Manager,Enterprise,11,0.27,47,6,27,7,0,4,78,1,130,129,21,73,0
E-commerce Co 158,E-commerce,Europe,Email Campaign,Director,Starter,1531,32.05,44,30,1,14,0,8,163,20,13,27,33,84,0
EdTech Co 159,EdTech,North America,Conference,VP,Starter,37,0.75,18,54,22,15,1,9,84,24,18,24,41,66,0
EdTech Co 160,EdTech,APAC,Email Campaign,Individual Contributor,Enterprise,27,0.28,38,19,3,9,0,6,156,12,67,116,99,41,0
EdTech Co 161,EdTech,India,Referral,Director,Enterprise,11,0.29,27,19,6,0,0,2,239,36,124,96,99,33,0
SaaS Co 162,SaaS,LATAM,Email Campaign,Director,Growth,1294,15.73,55,33,6,1,0,2,354,17,26,63,27,84,0
FinTech Co 163,FinTech,Europe,LinkedIn,Director,Free Trial,1188,19.96,53,15,9,18,1,0,274,0,70,69,40,62,1
RealEstate Co 164,Real Estate,Middle East,Paid Ads,Manager,Starter,33,0.73,38,4,11,3,1,7,255,11,89,66,70,16,0
SaaS Co 165,SaaS,Europe,Referral,VP,Starter,1484,30.99,25,10,0,11,1,2,162,37,106,48,17,80,1
EdTech Co 166,EdTech,Europe,Referral,VP,Free Trial,34,1.32,16,43,6,13,0,9,288,36,109,185,84,87,1
Manufacturing Co 167,Manufacturing,Middle East,LinkedIn,Manager,Starter,35,0.66,18,69,20,0,0,9,232,1,100,190,52,32,0
Healthcare Co 168,Healthcare,Europe,Partner,C-Level,Enterprise,330,12.38,7,60,14,11,1,6,116,29,67,183,58,29,1
E-commerce Co 169,E-commerce,India,Referral,Individual Contributor,Starter,387,5.91,33,73,19,2,0,1,328,26,17,71,25,13,0
SaaS Co 170,SaaS,India,Organic Search,Individual Contributor,Enterprise,1028,14.69,38,62,33,11,0,5,242,18,75,177,94,6,1
Healthcare Co 171,Healthcare,LATAM,Email Campaign,C-Level,Free Trial,575,12.5,35,57,17,2,0,3,183,29,45,197,43,64,0
Healthcare Co 172,Healthcare,Europe,Referral,Director,Enterprise,32,0.79,6,19,7,2,0,9,71,20,45,209,11,70,0
Manufacturing Co 173,Manufacturing,Europe,Conference,Manager,Growth,370,8.5,35,76,31,6,0,3,82,13,48,52,55,53,0
EdTech Co 174,EdTech,LATAM,Webinar,Individual Contributor,Starter,64,1.37,46,71,34,3,0,2,301,22,37,168,28,74,0
Cybersecurity Co 175,Cybersecurity,India,Email Campaign,Individual Contributor,Starter,391,3.65,38,55,13,8,0,3,223,24,78,132,60,87,0
Manufacturing Co 176,Manufacturing,Middle East,Organic Search,Director,Free Trial,95,0.79,44,7,38,5,1,9,123,22,74,136,46,86,0
RealEstate Co 177,Real Estate,India,Referral,Individual Contributor,Starter,5,0.14,48,6,31,9,0,6,80,16,72,142,90,8,0
RealEstate Co 178,Real Estate,APAC,Conference,Manager,Enterprise,77,2.31,38,88,31,10,0,9,353,30,6,207,10,100,0
Cybersecurity Co 179,Cybersecurity,LATAM,Partner,Manager,Free Trial,100,3.35,11,16,3,5,0,3,333,19,125,83,31,70,0
Healthcare Co 180,Healthcare,Europe,Paid Ads,Manager,Enterprise,1366,45.35,16,18,10,17,0,3,331,11,80,74,83,30,0
E-commerce Co 181,E-commerce,Europe,Referral,VP,Enterprise,497,13.25,51,79,8,1,1,3,158,20,73,42,26,18,1
RealEstate Co 182,Real Estate,North America,Organic Search,VP,Starter,189,4.44,24,87,15,12,1,3,397,22,98,33,87,79,0
EdTech Co 183,EdTech,North America,Referral,Director,Free Trial,3252,32.46,55,27,6,8,0,4,168,28,15,83,56,52,1
EdTech Co 184,EdTech,India,Referral,C-Level,Starter,48,1.03,2,47,7,6,0,0,209,20,24,58,31,43,0
SaaS Co 185,SaaS,Europe,Organic Search,VP,Starter,78,1.12,54,61,31,9,0,5,366,4,54,201,91,65,1
Manufacturing Co 186,Manufacturing,Middle East,Paid Ads,Director,Starter,64,2.49,6,39,12,3,0,7,9,37,120,176,32,47,0
Manufacturing Co 187,Manufacturing,India,Paid Ads,VP,Starter,142,3.81,4,76,1,6,0,4,163,27,99,159,37,85,0
Healthcare Co 188,Healthcare,LATAM,Partner,C-Level,Growth,3243,79.84,32,73,23,13,1,0,399,27,130,2,47,19,0
Healthcare Co 189,Healthcare,Middle East,Partner,VP,Starter,2840,57.12,54,78,8,0,0,9,236,5,18,42,19,78,0
RealEstate Co 190,Real Estate,LATAM,Conference,Director,Growth,159,5.1,33,70,18,12,0,2,349,31,30,130,89,22,0
Manufacturing Co 191,Manufacturing,Europe,Email Campaign,C-Level,Enterprise,20,0.53,15,11,22,2,0,6,284,15,130,142,71,56,0
EdTech Co 192,EdTech,APAC,Webinar,VP,Growth,194,1.67,35,85,11,12,0,5,260,38,124,124,55,95,0
Manufacturing Co 193,Manufacturing,India,Conference,Director,Free Trial,198,7.75,13,7,19,11,0,9,215,34,72,158,99,23,0
Healthcare Co 194,Healthcare,India,Webinar,Director,Free Trial,15,0.58,48,34,24,11,1,1,314,24,116,188,47,53,1
RealEstate Co 195,Real Estate,Middle East,Webinar,Individual Contributor,Enterprise,841,24.21,11,30,16,4,0,2,155,18,81,3,36,52,0
EdTech Co 196,EdTech,Middle East,Organic Search,Manager,Free Trial,276,6.22,26,59,26,3,1,9,165,0,108,32,90,71,0
E-commerce Co 197,E-commerce,Middle East,Webinar,Director,Free Trial,55,1.74,20,37,17,10,1,8,280,1,107,109,58,67,1
E-commerce Co 198,E-commerce,Europe,Partner,C-Level,Free Trial,2659,66.12,5,80,6,7,1,2,230,8,24,55,59,87,0
FinTech Co 199,FinTech,North America,Referral,C-Level,Growth,122,2.95,29,30,20,6,1,5,353,21,102,118,9,59,1
E-commerce Co 200,E-commerce,LATAM,Email Campaign,Director,Free Trial,422,6.64,39,8,20,1,0,3,153,23,83,193,17,92,0
Healthcare Co 201,Healthcare,Europe,Referral,C-Level,Free Trial,134,4.37,23,10,3,10,1,1,190,11,81,149,17,88,1
Manufacturing Co 202,Manufacturing,LATAM,Email Campaign,Individual Contributor,Growth,3187,86.32,44,42,2,10,1,1,157,18,116,153,56,81,0
Healthcare Co 203,Healthcare,Middle East,Organic Search,Manager,Free Trial,26,0.62,6,49,0,3,0,4,49,13,72,47,75,64,0
E-commerce Co 204,E-commerce,Europe,Partner,VP,Starter,63,0.96,16,14,24,10,0,2,345,24,126,18,13,5,0
EdTech Co 205,EdTech,Europe,Conference,Individual Contributor,Growth,114,2.18,8,32,15,12,1,9,83,26,12,192,33,47,0
